0	0000
20bb	₻
20bc	₼
20bd	₽
20be	₾
20bf	₿
20d0	⃐
20d1	⃑
20d2	⃒
20d3	⃓
20d4	⃔
20d5	⃕
20d6	⃖
20d7	⃗
20d8	⃘
20d9	⃙
20da	⃚
20db	⃛
20dc	⃜
20dd	⃝
20de	⃞
20df	⃟
20e0	⃠
20e1	⃡
20e2	⃢
20e3	⃣
20e4	⃤
20e5	⃥
20e6	⃦
20e7	⃧
20e8	⃨
20e9	⃩
20ea	⃪
20eb	⃫
20ec	⃬
20ed	⃭
20ee	⃮
20ef	⃯
20f0	⃰
2100	℀
2101	℁
2102	ℂ
2103	℃
2104	℄
2105	℅
2106	℆
2107	ℇ
2108	℈
2109	℉
210a	ℊ
210b	ℋ
210c	ℌ
210d	ℍ
210e	ℎ
210f	ℏ
2110	ℐ
2111	ℑ
2112	ℒ
2113	ℓ
2114	℔
2115	ℕ
2116	№
2117	℗
2118	℘
2119	ℙ
211a	ℚ
211b	ℛ
211c	ℜ
211d	ℝ
211e	℞
211f	℟
2120	℠
2121	℡
2122	™
2123	℣
2124	ℤ
2125	℥
2126	Ω
2127	℧
2128	ℨ
2129	℩
212a	K
212b	Å
212c	ℬ
212d	ℭ
212e	℮
212f	ℯ
2130	ℰ
2131	ℱ
2132	Ⅎ
2133	ℳ
2134	ℴ
2135	ℵ
2136	ℶ
2137	ℷ
2138	ℸ
2139	ℹ
213a	℺
213b	℻
213c	ℼ
213d	ℽ
213e	ℾ
213f	ℿ
2140	⅀
2141	⅁
2142	⅂
2143	⅃
2144	⅄
2145	ⅅ
2146	ⅆ
2147	ⅇ
2148	ⅈ
2149	ⅉ
214a	⅊
214b	⅋
214c	⅌
214d	⅍
214e	ⅎ
214f	⅏
2150	⅐
2151	⅑
2152	⅒
2153	⅓
2154	⅔
2155	⅕
2156	⅖
2157	⅗
2158	⅘
2159	⅙
215a	⅚
215b	⅛
215c	⅜
215d	⅝
215e	⅞
215f	⅟
2160	Ⅰ
2161	Ⅱ
2162	Ⅲ
2163	Ⅳ
2164	Ⅴ
2165	Ⅵ
2166	Ⅶ
2167	Ⅷ
2168	Ⅸ
2169	Ⅹ
216a	Ⅺ
216b	Ⅻ
216c	Ⅼ
216d	Ⅽ
216e	Ⅾ
216f	Ⅿ
2170	ⅰ
2171	ⅱ
2172	ⅲ
2173	ⅳ
2174	ⅴ
2175	ⅵ
2176	ⅶ
2177	ⅷ
2178	ⅸ
2179	ⅹ
217a	ⅺ
217b	ⅻ
217c	ⅼ
217d	ⅽ
217e	ⅾ
217f	ⅿ
2180	ↀ
2181	ↁ
2182	ↂ
2183	Ↄ
2184	ↄ
2185	ↅ
2186	ↆ
2187	ↇ
2188	ↈ
2189	↉
218a	↊
218b	↋
2190	←
2191	↑
2192	→
2193	↓
2194	↔
2195	↕
2196	↖
2197	↗
2198	↘
2199	↙
219a	↚
219b	↛
219c	↜
219d	↝
219e	↞
219f	↟
21a0	↠
21a1	↡
21a2	↢
21a3	↣
21a4	↤
21a5	↥
21a6	↦
21a7	↧
21a8	↨
21a9	↩
21aa	↪
21ab	↫
21ac	↬
21ad	↭
21ae	↮
21af	↯
21b0	↰
21b1	↱
21b2	↲
21b3	↳
21b4	↴
21b5	↵
21b6	↶
21b7	↷
21b8	↸
21b9	↹
21ba	↺
21bb	↻
21bc	↼
21bd	↽
21be	↾
21bf	↿
21c0	⇀
21c1	⇁
21c2	⇂
21c3	⇃
21c4	⇄
21c5	⇅
21c6	⇆
21c7	⇇
21c8	⇈
21c9	⇉
21ca	⇊
21cb	⇋
21cc	⇌
21cd	⇍
21ce	⇎
21cf	⇏
21d0	⇐
21d1	⇑
21d2	⇒
21d3	⇓
21d4	⇔
21d5	⇕
21d6	⇖
21d7	⇗
21d8	⇘
21d9	⇙
21da	⇚
21db	⇛
21dc	⇜
21dd	⇝
21de	⇞
21df	⇟
21e0	⇠
21e1	⇡
21e2	⇢
21e3	⇣
21e4	⇤
21e5	⇥
21e6	⇦
21e7	⇧
21e8	⇨
21e9	⇩
21ea	⇪
21eb	⇫
21ec	⇬
21ed	⇭
21ee	⇮
21ef	⇯
21f0	⇰
21f1	⇱
21f2	⇲
21f3	⇳
21f4	⇴
21f5	⇵
21f6	⇶
21f7	⇷
21f8	⇸
21f9	⇹
21fa	⇺
21fb	⇻
21fc	⇼
21fd	⇽
21fe	⇾
21ff	⇿
2200	∀
2201	∁
2202	∂
2203	∃
2204	∄
2205	∅
2206	∆
2207	∇
2208	∈
2209	∉
220a	∊
220b	∋
220c	∌
220d	∍
220e	∎
220f	∏
2210	∐
2211	∑
2212	−
2213	∓
2214	∔
2215	∕
2216	∖
2217	∗
2218	∘
2219	∙
221a	√
221b	∛
221c	∜
221d	∝
221e	∞
221f	∟
2220	∠
2221	∡
2222	∢
2223	∣
2224	∤
2225	∥
2226	∦
2227	∧
2228	∨
2229	∩
222a	∪
222b	∫
222c	∬
222d	∭
222e	∮
222f	∯
2230	∰
2231	∱
2232	∲
2233	∳
2234	∴
2235	∵
2236	∶
2237	∷
2238	∸
2239	∹
223a	∺
223b	∻
223c	∼
223d	∽
223e	∾
223f	∿
2240	≀
2241	≁
2242	≂
2243	≃
2244	≄
2245	≅
2246	≆
2247	≇
2248	≈
2249	≉
224a	≊
224b	≋
224c	≌
224d	≍
224e	≎
224f	≏
2250	≐
2251	≑
2252	≒
2253	≓
2254	≔
2255	≕
2256	≖
2257	≗
2258	≘
2259	≙
225a	≚
225b	≛
225c	≜
225d	≝
225e	≞
225f	≟
2260	≠
2261	≡
2262	≢
2263	≣
2264	≤
2265	≥
2266	≦
2267	≧
2268	≨
2269	≩
226a	≪
226b	≫
226c	≬
226d	≭
226e	≮
226f	≯
2270	≰
2271	≱
2272	≲
2273	≳
2274	≴
2275	≵
2276	≶
2277	≷
2278	≸
2279	≹
227a	≺
227b	≻
227c	≼
227d	≽
227e	≾
227f	≿
2280	⊀
2281	⊁
2282	⊂
2283	⊃
2284	⊄
2285	⊅
2286	⊆
2287	⊇
2288	⊈
2289	⊉
228a	⊊
228b	⊋
228c	⊌
228d	⊍
228e	⊎
228f	⊏
2290	⊐
2291	⊑
2292	⊒
2293	⊓
2294	⊔
2295	⊕
2296	⊖
2297	⊗
2298	⊘
2299	⊙
229a	⊚
229b	⊛
229c	⊜
229d	⊝
229e	⊞
229f	⊟
22a0	⊠
22a1	⊡
22a2	⊢
22a3	⊣
22a4	⊤
22a5	⊥
22a6	⊦
22a7	⊧
22a8	⊨
22a9	⊩
22aa	⊪
22ab	⊫
22ac	⊬
22ad	⊭
22ae	⊮
22af	⊯
22b0	⊰
22b1	⊱
22b2	⊲
22b3	⊳
22b4	⊴
22b5	⊵
22b6	⊶
22b7	⊷
22b8	⊸
22b9	⊹
22ba	⊺
22bb	⊻
22bc	⊼
22bd	⊽
22be	⊾
22bf	⊿
22c0	⋀
22c1	⋁
22c2	⋂
22c3	⋃
22c4	⋄
22c5	⋅
22c6	⋆
22c7	⋇
22c8	⋈
22c9	⋉
22ca	⋊
22cb	⋋
22cc	⋌
22cd	⋍
22ce	⋎
22cf	⋏
22d0	⋐
22d1	⋑
22d2	⋒
22d3	⋓
22d4	⋔
22d5	⋕
22d6	⋖
22d7	⋗
22d8	⋘
22d9	⋙
22da	⋚
22db	⋛
22dc	⋜
22dd	⋝
22de	⋞
22df	⋟
22e0	⋠
22e1	⋡
22e2	⋢
22e3	⋣
22e4	⋤
22e5	⋥
22e6	⋦
22e7	⋧
22e8	⋨
22e9	⋩
22ea	⋪
22eb	⋫
22ec	⋬
22ed	⋭
22ee	⋮
22ef	⋯
22f0	⋰
22f1	⋱
22f2	⋲
22f3	⋳
22f4	⋴
22f5	⋵
22f6	⋶
22f7	⋷
22f8	⋸
22f9	⋹
22fa	⋺
22fb	⋻
22fc	⋼
22fd	⋽
22fe	⋾
22ff	⋿
2300	⌀
2301	⌁
2302	⌂
2303	⌃
2304	⌄
2305	⌅
2306	⌆
2307	⌇
2308	⌈
2309	⌉
230a	⌊
230b	⌋
230c	⌌
230d	⌍
230e	⌎
230f	⌏
2310	⌐
2311	⌑
2312	⌒
2313	⌓
2314	⌔
2315	⌕
2316	⌖
2317	⌗
2318	⌘
2319	⌙
231a	⌚
231b	⌛
231c	⌜
231d	⌝
231e	⌞
231f	⌟
2320	⌠
2321	⌡
2322	⌢
2323	⌣
2324	⌤
2325	⌥
2326	⌦
2327	⌧
2328	⌨
2329	〈
232a	〉
232b	⌫
232c	⌬
232d	⌭
232e	⌮
232f	⌯
2330	⌰
2331	⌱
2332	⌲
2333	⌳
2334	⌴
2335	⌵
2336	⌶
2337	⌷
2338	⌸
2339	⌹
233a	⌺
233b	⌻
233c	⌼
233d	⌽
233e	⌾
233f	⌿
2340	⍀
2341	⍁
2342	⍂
2343	⍃
2344	⍄
2345	⍅
2346	⍆
2347	⍇
2348	⍈
2349	⍉
234a	⍊
234b	⍋
234c	⍌
234d	⍍
234e	⍎
234f	⍏
2350	⍐
2351	⍑
2352	⍒
2353	⍓
2354	⍔
2355	⍕
2356	⍖
2357	⍗
2358	⍘
2359	⍙
235a	⍚
235b	⍛
235c	⍜
235d	⍝
235e	⍞
235f	⍟
2360	⍠
2361	⍡
2362	⍢
2363	⍣
2364	⍤
2365	⍥
2366	⍦
2367	⍧
2368	⍨
2369	⍩
236a	⍪
236b	⍫
236c	⍬
236d	⍭
236e	⍮
236f	⍯
2370	⍰
2371	⍱
2372	⍲
2373	⍳
2374	⍴
2375	⍵
2376	⍶
2377	⍷
2378	⍸
2379	⍹
237a	⍺
237b	⍻
237c	⍼
237d	⍽
237e	⍾
237f	⍿
2380	⎀
2381	⎁
2382	⎂
2383	⎃
2384	⎄
2385	⎅
2386	⎆
2387	⎇
2388	⎈
2389	⎉
238a	⎊
238b	⎋
238c	⎌
238d	⎍
238e	⎎
238f	⎏
2390	⎐
2391	⎑
2392	⎒
2393	⎓
2394	⎔
2395	⎕
2396	⎖
2397	⎗
2398	⎘
2399	⎙
239a	⎚
239b	⎛
239c	⎜
239d	⎝
239e	⎞
239f	⎟
23a0	⎠
23a1	⎡
23a2	⎢
23a3	⎣
23a4	⎤
23a5	⎥
23a6	⎦
23a7	⎧
23a8	⎨
23a9	⎩
23aa	⎪
23ab	⎫
23ac	⎬
23ad	⎭
23ae	⎮
23af	⎯
23b0	⎰
23b1	⎱
23b2	⎲
23b3	⎳
23b4	⎴
23b5	⎵
23b6	⎶
23b7	⎷
23b8	⎸
23b9	⎹
23ba	⎺
23bb	⎻
23bc	⎼
23bd	⎽
23be	⎾
23bf	⎿
23c0	⏀
23c1	⏁
23c2	⏂
23c3	⏃
23c4	⏄
23c5	⏅
23c6	⏆
23c7	⏇
23c8	⏈
23c9	⏉
23ca	⏊
23cb	⏋
23cc	⏌
23cd	⏍
23ce	⏎
23cf	⏏
23d0	⏐
23d1	⏑
23d2	⏒
23d3	⏓
23d4	⏔
23d5	⏕
23d6	⏖
23d7	⏗
23d8	⏘
23d9	⏙
23da	⏚
23db	⏛
23dc	⏜
23dd	⏝
23de	⏞
23df	⏟
23e0	⏠
23e1	⏡
23e2	⏢
23e3	⏣
23e4	⏤
23e5	⏥
23e6	⏦
23e7	⏧
23e8	⏨
23e9	⏩
23ea	⏪
23eb	⏫
23ec	⏬
23ed	⏭
23ee	⏮
23ef	⏯
23f0	⏰
23f1	⏱
23f2	⏲
23f3	⏳
23f4	⏴
23f5	⏵
23f6	⏶
23f7	⏷
23f8	⏸
23f9	⏹
23fa	⏺
23fb	⏻
23fc	⏼
23fd	⏽
23fe	⏾
23ff	⏿
2400	␀
2401	␁
2402	␂
2403	␃
2404	␄
2405	␅
2406	␆
2407	␇
2408	␈
2409	␉
240a	␊
240b	␋
240c	␌
240d	␍
240e	␎
240f	␏
2410	␐
2411	␑
2412	␒
2413	␓
2414	␔
2415	␕
2416	␖
2417	␗
2418	␘
2419	␙
241a	␚
241b	␛
241c	␜
241d	␝
241e	␞
241f	␟
2420	␠
2421	␡
2422	␢
2423	␣
2424	␤
2425	␥
2426	␦
2440	⑀
2441	⑁
2442	⑂
2443	⑃
2444	⑄
2445	⑅
2446	⑆
2447	⑇
2448	⑈
2449	⑉
244a	⑊
2460	①
2461	②
2462	③
2463	④
2464	⑤
2465	⑥
2466	⑦
2467	⑧
2468	⑨
2469	⑩
246a	⑪
246b	⑫
246c	⑬
246d	⑭
246e	⑮
246f	⑯
2470	⑰
2471	⑱
2472	⑲
2473	⑳
2474	⑴
2475	⑵
2476	⑶
2477	⑷
2478	⑸
2479	⑹
247a	⑺
247b	⑻
247c	⑼
247d	⑽
247e	⑾
247f	⑿
2480	⒀
2481	⒁
2482	⒂
2483	⒃
2484	⒄
2485	⒅
2486	⒆
2487	⒇
2488	⒈
2489	⒉
248a	⒊
248b	⒋
248c	⒌
248d	⒍
248e	⒎
248f	⒏
2490	⒐
2491	⒑
2492	⒒
2493	⒓
2494	⒔
2495	⒕
2496	⒖
2497	⒗
2498	⒘
2499	⒙
249a	⒚
249b	⒛
249c	⒜
249d	⒝
249e	⒞
249f	⒟
24a0	⒠
24a1	⒡
24a2	⒢
24a3	⒣
24a4	⒤
24a5	⒥
24a6	⒦
24a7	⒧
24a8	⒨
24a9	⒩
24aa	⒪
24ab	⒫
24ac	⒬
24ad	⒭
24ae	⒮
24af	⒯
24b0	⒰
24b1	⒱
24b2	⒲
24b3	⒳
24b4	⒴
24b5	⒵
24b6	Ⓐ
24b7	Ⓑ
24b8	Ⓒ
24b9	Ⓓ
24ba	Ⓔ
24bb	Ⓕ
24bc	Ⓖ
24bd	Ⓗ
24be	Ⓘ
24bf	Ⓙ
24c0	Ⓚ
24c1	Ⓛ
24c2	Ⓜ
24c3	Ⓝ
24c4	Ⓞ
24c5	Ⓟ
24c6	Ⓠ
24c7	Ⓡ
24c8	Ⓢ
24c9	Ⓣ
24ca	Ⓤ
24cb	Ⓥ
24cc	Ⓦ
24cd	Ⓧ
24ce	Ⓨ
24cf	Ⓩ
24d0	ⓐ
24d1	ⓑ
24d2	ⓒ
24d3	ⓓ
24d4	ⓔ
24d5	ⓕ
24d6	ⓖ
24d7	ⓗ
24d8	ⓘ
24d9	ⓙ
24da	ⓚ
24db	ⓛ
24dc	ⓜ
24dd	ⓝ
24de	ⓞ
24df	ⓟ
24e0	ⓠ
24e1	ⓡ
24e2	ⓢ
24e3	ⓣ
24e4	ⓤ
24e5	ⓥ
24e6	ⓦ
24e7	ⓧ
24e8	ⓨ
24e9	ⓩ
24ea	⓪
24eb	⓫
24ec	⓬
24ed	⓭
24ee	⓮
24ef	⓯
24f0	⓰
24f1	⓱
24f2	⓲
24f3	⓳
24f4	⓴
24f5	⓵
24f6	⓶
24f7	⓷
24f8	⓸
24f9	⓹
24fa	⓺
24fb	⓻
24fc	⓼
24fd	⓽
24fe	⓾
24ff	⓿
2500	─
2501	━
2502	│
2503	┃
2504	┄
2505	┅
2506	┆
2507	┇
2508	┈
2509	┉
250a	┊
250b	┋
250c	┌
250d	┍
250e	┎
250f	┏
2510	┐
2511	┑
2512	┒
2513	┓
2514	└
2515	┕
2516	┖
2517	┗
2518	┘
2519	┙
251a	┚
251b	┛
251c	├
251d	┝
251e	┞
251f	┟
2520	┠
2521	┡
2522	┢
2523	┣
2524	┤
2525	┥
2526	┦
2527	┧
2528	┨
2529	┩
252a	┪
252b	┫
252c	┬
252d	┭
252e	┮
252f	┯
2530	┰
2531	┱
2532	┲
2533	┳
2534	┴
2535	┵
2536	┶
2537	┷
2538	┸
2539	┹
253a	┺
253b	┻
253c	┼
253d	┽
253e	┾
253f	┿
2540	╀
2541	╁
2542	╂
2543	╃
2544	╄
2545	╅
2546	╆
2547	╇
2548	╈
2549	╉
254a	╊
254b	╋
254c	╌
254d	╍
254e	╎
254f	╏
2550	═
2551	║
2552	╒
2553	╓
2554	╔
2555	╕
2556	╖
2557	╗
2558	╘
2559	╙
255a	╚
255b	╛
255c	╜
255d	╝
255e	╞
255f	╟
2560	╠
2561	╡
2562	╢
2563	╣
2564	╤
2565	╥
2566	╦
2567	╧
2568	╨
2569	╩
256a	╪
256b	╫
256c	╬
256d	╭
256e	╮
256f	╯
2570	╰
2571	╱
2572	╲
2573	╳
2574	╴
2575	╵
2576	╶
2577	╷
2578	╸
2579	╹
257a	╺
257b	╻
257c	╼
257d	╽
257e	╾
257f	╿
2580	▀
2581	▁
2582	▂
2583	▃
2584	▄
2585	▅
2586	▆
2587	▇
2588	█
2589	▉
258a	▊
258b	▋
258c	▌
258d	▍
258e	▎
258f	▏
2590	▐
2591	░
2592	▒
2593	▓
2594	▔
2595	▕
2596	▖
2597	▗
2598	▘
2599	▙
259a	▚
259b	▛
259c	▜
259d	▝
259e	▞
259f	▟
25a0	■
25a1	□
25a2	▢
25a3	▣
25a4	▤
25a5	▥
25a6	▦
25a7	▧
25a8	▨
25a9	▩
25aa	▪
25ab	▫
25ac	▬
25ad	▭
25ae	▮
25af	▯
25b0	▰
25b1	▱
25b2	▲
25b3	△
25b4	▴
25b5	▵
25b6	▶
25b7	▷
25b8	▸
25b9	▹
25ba	►
25bb	▻
25bc	▼
25bd	▽
25be	▾
25bf	▿
25c0	◀
25c1	◁
25c2	◂
25c3	◃
25c4	◄
25c5	◅
25c6	◆
25c7	◇
25c8	◈
25c9	◉
25ca	◊
25cb	○
25cc	◌
25cd	◍
25ce	◎
25cf	●
25d0	◐
25d1	◑
25d2	◒
25d3	◓
25d4	◔
25d5	◕
25d6	◖
25d7	◗
25d8	◘
25d9	◙
25da	◚
25db	◛
25dc	◜
25dd	◝
25de	◞
25df	◟
25e0	◠
25e1	◡
25e2	◢
25e3	◣
25e4	◤
25e5	◥
25e6	◦
25e7	◧
25e8	◨
25e9	◩
25ea	◪
25eb	◫
25ec	◬
25ed	◭
25ee	◮
25ef	◯
25f0	◰
25f1	◱
25f2	◲
25f3	◳
25f4	◴
25f5	◵
25f6	◶
25f7	◷
25f8	◸
25f9	◹
25fa	◺
25fb	◻
25fc	◼
25fd	◽
25fe	◾
25ff	◿
2600	☀
2601	☁
2602	☂
2603	☃
2604	☄
2605	★
2606	☆
2607	☇
2608	☈
2609	☉
260a	☊
260b	☋
260c	☌
260d	☍
260e	☎
260f	☏
2610	☐
2611	☑
2612	☒
2613	☓
2614	☔
2615	☕
2616	☖
2617	☗
2618	☘
2619	☙
261a	☚
261b	☛
261c	☜
261d	☝
261e	☞
261f	☟
2620	☠
2621	☡
2622	☢
2623	☣
2624	☤
2625	☥
2626	☦
2627	☧
2628	☨
2629	☩
262a	☪
262b	☫
262c	☬
262d	☭
262e	☮
262f	☯
2630	☰
2631	☱
2632	☲
2633	☳
2634	☴
2635	☵
2636	☶
2637	☷
2638	☸
2639	☹
263a	☺
263b	☻
263c	☼
263d	☽
263e	☾
263f	☿
2640	♀
2641	♁
2642	♂
2643	♃
2644	♄
2645	♅
2646	♆
2647	♇
2648	♈
2649	♉
264a	♊
264b	♋
264c	♌
264d	♍
264e	♎
264f	♏
2650	♐
2651	♑
2652	♒
2653	♓
2654	♔
2655	♕
2656	♖
2657	♗
2658	♘
2659	♙
265a	♚
265b	♛
265c	♜
265d	♝
265e	♞
265f	♟
2660	♠
2661	♡
2662	♢
2663	♣
2664	♤
2665	♥
2666	♦
2667	♧
2668	♨
2669	♩
266a	♪
266b	♫
266c	♬
266d	♭
266e	♮
266f	♯
2670	♰
2671	♱
2672	♲
2673	♳
2674	♴
2675	♵
2676	♶
2677	♷
2678	♸
2679	♹
267a	♺
267b	♻
267c	♼
267d	♽
267e	♾
267f	♿
2680	⚀
2681	⚁
2682	⚂
2683	⚃
2684	⚄
2685	⚅
2686	⚆
2687	⚇
2688	⚈
2689	⚉
268a	⚊
268b	⚋
268c	⚌
268d	⚍
268e	⚎
268f	⚏
2690	⚐
2691	⚑
2692	⚒
2693	⚓
2694	⚔
2695	⚕
2696	⚖
2697	⚗
2698	⚘
2699	⚙
269a	⚚
269b	⚛
269c	⚜
269d	⚝
269e	⚞
269f	⚟
26a0	⚠
26a1	⚡
26a2	⚢
26a3	⚣
26a4	⚤
26a5	⚥
26a6	⚦
26a7	⚧
26a8	⚨
26a9	⚩
26aa	⚪
26ab	⚫
26ac	⚬
26ad	⚭
26ae	⚮
26af	⚯
26b0	⚰
26b1	⚱
26b2	⚲
26b3	⚳
26b4	⚴
26b5	⚵
26b6	⚶
26b7	⚷
26b8	⚸
26b9	⚹
26ba	⚺
26bb	⚻
26bc	⚼
26bd	⚽
26be	⚾
26bf	⚿
26c0	⛀
26c1	⛁
26c2	⛂
26c3	⛃
26c4	⛄
26c5	⛅
26c6	⛆
26c7	⛇
26c8	⛈
26c9	⛉
26ca	⛊
26cb	⛋
26cc	⛌
26cd	⛍
26ce	⛎
26cf	⛏
26d0	⛐
26d1	⛑
26d2	⛒
26d3	⛓
26d4	⛔
26d5	⛕
26d6	⛖
26d7	⛗
26d8	⛘
26d9	⛙
26da	⛚
26db	⛛
26dc	⛜
26dd	⛝
26de	⛞
26df	⛟
26e0	⛠
26e1	⛡
26e2	⛢
26e3	⛣
26e4	⛤
26e5	⛥
26e6	⛦
26e7	⛧
26e8	⛨
26e9	⛩
26ea	⛪
26eb	⛫
26ec	⛬
26ed	⛭
26ee	⛮
26ef	⛯
26f0	⛰
26f1	⛱
26f2	⛲
26f3	⛳
26f4	⛴
26f5	⛵
26f6	⛶
26f7	⛷
26f8	⛸
26f9	⛹
26fa	⛺
26fb	⛻
26fc	⛼
26fd	⛽
26fe	⛾
26ff	⛿
2700	✀
2701	✁
2702	✂
2703	✃
2704	✄
2705	✅
2706	✆
2707	✇
2708	✈
2709	✉
270a	✊
270b	✋
270c	✌
270d	✍
270e	✎
270f	✏
2710	✐
2711	✑
2712	✒
2713	✓
2714	✔
2715	✕
2716	✖
2717	✗
2718	✘
2719	✙
271a	✚
271b	✛
271c	✜
271d	✝
271e	✞
271f	✟
2720	✠
2721	✡
2722	✢
2723	✣
2724	✤
2725	✥
2726	✦
2727	✧
2728	✨
2729	✩
272a	✪
272b	✫
272c	✬
272d	✭
272e	✮
272f	✯
2730	✰
2731	✱
2732	✲
2733	✳
2734	✴
2735	✵
2736	✶
2737	✷
2738	✸
2739	✹
273a	✺
273b	✻
273c	✼
273d	✽
273e	✾
273f	✿
2740	❀
2741	❁
2742	❂
2743	❃
2744	❄
2745	❅
2746	❆
2747	❇
2748	❈
2749	❉
274a	❊
274b	❋
274c	❌
274d	❍
274e	❎
274f	❏
2750	❐
2751	❑
2752	❒
2753	❓
2754	❔
2755	❕
2756	❖
2757	❗
2758	❘
2759	❙
275a	❚
275b	❛
275c	❜
275d	❝
275e	❞
275f	❟
2760	❠
2761	❡
2762	❢
2763	❣
2764	❤
2765	❥
2766	❦
2767	❧
2768	❨
2769	❩
276a	❪
276b	❫
276c	❬
276d	❭
276e	❮
276f	❯
2770	❰
2771	❱
2772	❲
2773	❳
2774	❴
2775	❵
2776	❶
2777	❷
2778	❸
2779	❹
277a	❺
277b	❻
277c	❼
277d	❽
277e	❾
277f	❿
2780	➀
2781	➁
2782	➂
2783	➃
2784	➄
2785	➅
2786	➆
2787	➇
2788	➈
2789	➉
278a	➊
278b	➋
278c	➌
278d	➍
278e	➎
278f	➏
2790	➐
2791	➑
2792	➒
2793	➓
2794	➔
2795	➕
2796	➖
2797	➗
2798	➘
2799	➙
279a	➚
279b	➛
279c	➜
279d	➝
279e	➞
279f	➟
27a0	➠
27a1	➡
27a2	➢
27a3	➣
27a4	➤
27a5	➥
27a6	➦
27a7	➧
27a8	➨
27a9	➩
27aa	➪
27ab	➫
27ac	➬
27ad	➭
27ae	➮
27af	➯
27b0	➰
27b1	➱
27b2	➲
27b3	➳
27b4	➴
27b5	➵
27b6	➶
27b7	➷
27b8	➸
27b9	➹
27ba	➺
27bb	➻
27bc	➼
27bd	➽
27be	➾
27bf	➿
27c0	⟀
27c1	⟁
27c2	⟂
27c3	⟃
27c4	⟄
27c5	⟅
27c6	⟆
27c7	⟇
27c8	⟈
27c9	⟉
27ca	⟊
27cb	⟋
27cc	⟌
27cd	⟍
27ce	⟎
27cf	⟏
27d0	⟐
27d1	⟑
27d2	⟒
27d3	⟓
27d4	⟔
27d5	⟕
27d6	⟖
27d7	⟗
27d8	⟘
27d9	⟙
27da	⟚
27db	⟛
27dc	⟜
27dd	⟝
27de	⟞
27df	⟟
27e0	⟠
27e1	⟡
27e2	⟢
27e3	⟣
27e4	⟤
27e5	⟥
27e6	⟦
27e7	⟧
27e8	⟨
27e9	⟩
27ea	⟪
27eb	⟫
27ec	⟬
27ed	⟭
27ee	⟮
27ef	⟯
27f0	⟰
27f1	⟱
27f2	⟲
27f3	⟳
27f4	⟴
27f5	⟵
27f6	⟶
27f7	⟷
27f8	⟸
27f9	⟹
27fa	⟺
27fb	⟻
27fc	⟼
27fd	⟽
27fe	⟾
27ff	⟿
2800	⠀
2801	⠁
2802	⠂
2803	⠃
2804	⠄
2805	⠅
2806	⠆
2807	⠇
2808	⠈
2809	⠉
280a	⠊
280b	⠋
280c	⠌
280d	⠍
280e	⠎
280f	⠏
2810	⠐
2811	⠑
2812	⠒
2813	⠓
2814	⠔
2815	⠕
2816	⠖
2817	⠗
2818	⠘
2819	⠙
281a	⠚
281b	⠛
281c	⠜
281d	⠝
281e	⠞
281f	⠟
2820	⠠
2821	⠡
2822	⠢
2823	⠣
2824	⠤
2825	⠥
2826	⠦
2827	⠧
2828	⠨
2829	⠩
282a	⠪
282b	⠫
282c	⠬
282d	⠭
282e	⠮
282f	⠯
2830	⠰
2831	⠱
2832	⠲
2833	⠳
2834	⠴
2835	⠵
2836	⠶
2837	⠷
2838	⠸
2839	⠹
283a	⠺
283b	⠻
283c	⠼
283d	⠽
283e	⠾
283f	⠿
2840	⡀
2841	⡁
2842	⡂
2843	⡃
2844	⡄
2845	⡅
2846	⡆
2847	⡇
2848	⡈
2849	⡉
284a	⡊
284b	⡋
284c	⡌
284d	⡍
284e	⡎
284f	⡏
2850	⡐
2851	⡑
2852	⡒
2853	⡓
2854	⡔
2855	⡕
2856	⡖
2857	⡗
2858	⡘
2859	⡙
285a	⡚
285b	⡛
285c	⡜
285d	⡝
285e	⡞
285f	⡟
2860	⡠
2861	⡡
2862	⡢
2863	⡣
2864	⡤
2865	⡥
2866	⡦
2867	⡧
2868	⡨
2869	⡩
286a	⡪
286b	⡫
286c	⡬
286d	⡭
286e	⡮
286f	⡯
2870	⡰
2871	⡱
2872	⡲
2873	⡳
2874	⡴
2875	⡵
2876	⡶
2877	⡷
2878	⡸
2879	⡹
287a	⡺
287b	⡻
287c	⡼
287d	⡽
287e	⡾
287f	⡿
2880	⢀
2881	⢁
2882	⢂
2883	⢃
2884	⢄
2885	⢅
2886	⢆
2887	⢇
2888	⢈
2889	⢉
288a	⢊
288b	⢋
288c	⢌
288d	⢍
288e	⢎
288f	⢏
2890	⢐
2891	⢑
2892	⢒
2893	⢓
2894	⢔
2895	⢕
2896	⢖
2897	⢗
2898	⢘
2899	⢙
289a	⢚
289b	⢛
289c	⢜
289d	⢝
289e	⢞
289f	⢟
28a0	⢠
28a1	⢡
28a2	⢢
28a3	⢣
28a4	⢤
28a5	⢥
28a6	⢦
28a7	⢧
28a8	⢨
28a9	⢩
28aa	⢪
28ab	⢫
28ac	⢬
28ad	⢭
28ae	⢮
28af	⢯
28b0	⢰
28b1	⢱
28b2	⢲
28b3	⢳
28b4	⢴
28b5	⢵
28b6	⢶
28b7	⢷
28b8	⢸
28b9	⢹
28ba	⢺
28bb	⢻
28bc	⢼
28bd	⢽
28be	⢾
28bf	⢿
28c0	⣀
28c1	⣁
28c2	⣂
28c3	⣃
28c4	⣄
28c5	⣅
28c6	⣆
28c7	⣇
28c8	⣈
28c9	⣉
